:START_ID,:END_ID,relation,concepts,synsets,:TYPE
Documentation describing the extra environmental features adopted as well as the product functions generated by the technology,The following requirements are applicable to all glazing products:,because,[],[],Relation
Laboratory test report(s) for all relevant quality and performance tests,"Product shall fulfil the quality, safety, air leakage and other functional requirements",because,[],[],Relation
Laboratory test report(s) for all relevant quality and performance tests,The manufacturer of the product shall have effective energy management policies and procedures and / or an energy management programme.,because,[],[],Relation
Laboratory test report(s) for all relevant quality and performance tests,"The technology adopted enable the glazing product to reduce resources used in maintenance, e.g. self-cleaning glass, etc.",because,[],[],Relation
Laboratory test report(s) for all relevant quality and performance tests,"The technology adopted enable the glazing product to reduce resources used in energy, such as lighting, e.g. instantly reactive glazing technology that changes the glass from clear to a dark blue tint, self tinted glass, etc.",because,[],[],Relation
Laboratory test report(s) for all relevant quality and performance tests,"Product shall NOT contain: Substances listed in IARC Group 1, 2A and 2B ≥ 0.1% by weight of the product",because,[],[],Relation
Laboratory test report(s) for all relevant quality and performance tests,All packaging materials shall be either comprised of 100% recycled material or readily recyclable,because,[],[],Relation
The manufacturer of the product shall have effective energy management policies and procedures and / or an energy management programme.,Manufacturer,is participated by,[],[],Relation
The manufacturer of the product shall have effective energy management policies and procedures and / or an energy management programme.,Product,is participated by,[],[],Relation
"The technology adopted enable the glazing product to reduce resources used in maintenance, e.g. self-cleaning glass, etc. Or Energy, such as lighting, e.g. instantly reactive glazing technology that changes the glass from clear to a dark blue tint, self tinted glass, etc.",Technology,is participated by,[],[],Relation
"The technology adopted enable the glazing product to reduce resources used in maintenance, e.g. self-cleaning glass, etc. Or Energy, such as lighting, e.g. instantly reactive glazing technology that changes the glass from clear to a dark blue tint, self tinted glass, etc.",Glazing Product,is participated by,[],[],Relation
Product packaging shall not contain halogenated plastics. All packaging materials shall be either comprised of 100% recycled material or readily recyclable.,Product Packaging,is participated by,[],[],Relation
Product packaging shall not contain halogenated plastics. All packaging materials shall be either comprised of 100% recycled material or readily recyclable.,Materials,is participated by,[],[],Relation
"The product shall fulfil the quality, safety, air leakage and other functional requirements. Manufacturer shall provide a 10-year guarantee to the product.",Product,is participated by,[],[],Relation
"The product shall fulfil the quality, safety, air leakage and other functional requirements. Manufacturer shall provide a 10-year guarantee to the product.",Manufacturer,is participated by,[],[],Relation
"Product shall NOT contain: Substances listed in IARC Group 1, 2A and 2B ≥ 0.1% by weight of the product Organotin compounds Phthalates or polybrominated diphenylethers.",Product,is participated by,[],[],Relation
"Product shall NOT contain: Substances listed in IARC Group 1, 2A and 2B ≥ 0.1% by weight of the product Organotin compounds Phthalates or polybrominated diphenylethers.",Substances,is participated by,[],[],Relation
Documentation on the packaging materials used is required.,Documentation,is participated by,[],[],Relation
Documentation on the packaging materials used is required.,Packaging Materials,is participated by,[],[],Relation
Documentation describing the extra environmental features adopted as well as the product functions generated by the technology is required.,Documentation,is participated by,[],[],Relation
Documentation describing the extra environmental features adopted as well as the product functions generated by the technology is required.,Technology,is participated by,[],[],Relation
Documentation describing the extra environmental features adopted as well as the product functions generated by the technology is required.,Product Functions,is participated by,[],[],Relation
Laboratory test report(s) for all relevant quality and performance tests is required.,Laboratory,is participated by,[],[],Relation
Laboratory test report(s) for all relevant quality and performance tests is required.,Test Report,is participated by,[],[],Relation
Laboratory test report(s) for all relevant quality and performance tests is required.,Quality,is participated by,[],[],Relation
Laboratory test report(s) for all relevant quality and performance tests is required.,Performance,is participated by,[],[],Relation
Directive 2001/59/EC,tinted glazing product,applies to,[],[],Relation
Product,toxic heavy metals,shall not contain,[],[],Relation
Product,chlorinated / brominated paraffins,shall not contain,[],[],Relation
Filler gases,insulating units,used in,[],[],Relation
Laboratory test report,certification,required for,[],[],Relation
MSDS,certification,required for,[],[],Relation
Self-declaration letter,certification,required for,[],[],Relation
Production documentation,certification,required for,[],[],Relation
GWP,in 100 years,shall be ≤ 5,[],[],Relation
CIC Green Product Certification,HKGBC Green Product Accreditation and Standards,formerly known as,[],[],Relation
The following requirements are applicable to tinted glazing product only:,"Product shall not contain toxic heavy metals, or ingredients containing heavy metals, including lead (Pb), cadmium (Cd), mercury (Hg), chromium (Cr), arsenic (As), selenium (Se), antimony (Sb), and cobalt (Co).",because,[],[],Relation
The following requirements are applicable to double/triple glazing product only:,Product shall not contain chlorinated / brominated paraffins,because,[],[],Relation
Filler gases used in the insulating units: $≤ 5$ in $GWP_{100}$,"Laboratory test report(s), MSDS, self-declaration letter and production documentation",after,[],[],Relation
"Laboratory test report(s), MSDS, self-declaration letter and production documentation",Filler gases used in the insulating units: $≤ 5$ in $GWP_{100}$,at the same time,[],[],Relation
The CIC Green Product Certification *(formerly known as HKGBC Green Product Accreditation and Standards [HK G-PASS])* (herein,The following requirements are applicable to tinted glazing product only:,before,[],[],Relation
The following requirements are applicable to tinted glazing product only:,European Union Directive 2001/59/EC,is participated by,[],[],Relation
The following requirements are applicable to tinted glazing product only:,tinted glazing product,is participated by,[],[],Relation
"Product shall not contain toxic heavy metals, or ingredients containing heavy metals, including lead (Pb), cadmium (Cd), mercury (Hg), chromium (Cr), arsenic (As), selenium (Se), antimony (Sb), and cobalt (Co).",product,is participated by,[],[],Relation
"Product shall not contain toxic heavy metals, or ingredients containing heavy metals, including lead (Pb), cadmium (Cd), mercury (Hg), chromium (Cr), arsenic (As), selenium (Se), antimony (Sb), and cobalt (Co).",toxic heavy metals,is participated by,[],[],Relation
"Product shall not contain toxic heavy metals, or ingredients containing heavy metals, including lead (Pb), cadmium (Cd), mercury (Hg), chromium (Cr), arsenic (As), selenium (Se), antimony (Sb), and cobalt (Co).",lead (Pb),is participated by,[],[],Relation
"Product shall not contain toxic heavy metals, or ingredients containing heavy metals, including lead (Pb), cadmium (Cd), mercury (Hg), chromium (Cr), arsenic (As), selenium (Se), antimony (Sb), and cobalt (Co).",cadmium (Cd),is participated by,[],[],Relation
"Product shall not contain toxic heavy metals, or ingredients containing heavy metals, including lead (Pb), cadmium (Cd), mercury (Hg), chromium (Cr), arsenic (As), selenium (Se), antimony (Sb), and cobalt (Co).",mercury (Hg),is participated by,[],[],Relation
"Product shall not contain toxic heavy metals, or ingredients containing heavy metals, including lead (Pb), cadmium (Cd), mercury (Hg), chromium (Cr), arsenic (As), selenium (Se), antimony (Sb), and cobalt (Co).",chromium (Cr),is participated by,[],[],Relation
"Product shall not contain toxic heavy metals, or ingredients containing heavy metals, including lead (Pb), cadmium (Cd), mercury (Hg), chromium (Cr), arsenic (As), selenium (Se), antimony (Sb), and cobalt (Co).",arsenic (As),is participated by,[],[],Relation
"Product shall not contain toxic heavy metals, or ingredients containing heavy metals, including lead (Pb), cadmium (Cd), mercury (Hg), chromium (Cr), arsenic (As), selenium (Se), antimony (Sb), and cobalt (Co).",selenium (Se),is participated by,[],[],Relation
"Product shall not contain toxic heavy metals, or ingredients containing heavy metals, including lead (Pb), cadmium (Cd), mercury (Hg), chromium (Cr), arsenic (As), selenium (Se), antimony (Sb), and cobalt (Co).",antimony (Sb),is participated by,[],[],Relation
"Product shall not contain toxic heavy metals, or ingredients containing heavy metals, including lead (Pb), cadmium (Cd), mercury (Hg), chromium (Cr), arsenic (As), selenium (Se), antimony (Sb), and cobalt (Co).",cobalt (Co),is participated by,[],[],Relation
The following requirements are applicable to double/triple glazing product only:,double/triple glazing product,is participated by,[],[],Relation
Product shall not contain chlorinated / brominated paraffins,product,is participated by,[],[],Relation
Product shall not contain chlorinated / brominated paraffins,chlorinated / brominated paraffins,is participated by,[],[],Relation
Filler gases used in the insulating units: $≤ 5$ in $GWP_{100}$,filler gases,is participated by,[],[],Relation
Filler gases used in the insulating units: $≤ 5$ in $GWP_{100}$,insulating units,is participated by,[],[],Relation
Filler gases used in the insulating units: $≤ 5$ in $GWP_{100}$,$GWP_{100}$,is participated by,[],[],Relation
"Laboratory test report(s), MSDS, self-declaration letter and production documentation | +10 | 4.3.1 (page 8) |",laboratory test report(s),is participated by,[],[],Relation
"Laboratory test report(s), MSDS, self-declaration letter and production documentation | +10 | 4.3.1 (page 8) |",MSDS,is participated by,[],[],Relation
"Laboratory test report(s), MSDS, self-declaration letter and production documentation | +10 | 4.3.1 (page 8) |",self-declaration letter,is participated by,[],[],Relation
"Laboratory test report(s), MSDS, self-declaration letter and production documentation | +10 | 4.3.1 (page 8) |",production documentation,is participated by,[],[],Relation
"## <span id=""page-5-0""></span>**1. INTRODUCTION** <span id=""page-5-1""></span> ## **1.1 PURPOSE**",CIC Green Product Certification,is participated by,[],[],Relation
"## <span id=""page-5-0""></span>**1. INTRODUCTION** <span id=""page-5-1""></span> ## **1.1 PURPOSE**",HKGBC Green Product Accreditation and Standards [HK G-PASS],is participated by,[],[],Relation
Scheme,Construction Industry Council,owned,[],[],Relation
Scheme,Hong Kong Green Building Council,implemented,[],[],Relation
Assessment Standard,assessment criteria,sets,[],[],Relation
Assessment Standard,verification methods,defines,[],[],Relation
Standard,laws and regulations,modifies,[],[],Relation
Standard,laws and regulations,supersedes,[],[],Relation
Standard,compliance with laws and regulations,requires,[],[],Relation
Glazing products,building,used,[],[],Relation
Glazing products,substances,contain,[],[],Relation
Assessment criteria,energy-efficient building envelop,promote,[],[],Relation
Assessment criteria,environmental impact,minimise,[],[],Relation
Standard,glass,applicable,[],[],Relation
Applicant,label,apply,[],[],Relation
The Scheme is owned by the Construction Industry Council (CIC) and implemented by the Hong Kong Green Building Council (HKGBC).,"It aims to help consumers, building professionals and policy makers identify environmentally preferable building materials and products.",because,[],[],Relation
The Standard sets out the assessment criteria and their benchmarks for glazing products.,It governs the application and award of a label under the Scheme.,at the same time,[],[],Relation
The Standard defines the verification methods to determine which labelling grade should be awarded to the product.,"It aims to help consumers, building professionals and policy makers identify environmentally preferable building materials and products.",because,[],[],Relation
The Standard neither modifies nor supersedes laws and regulations.,"Compliance with this Standard is not a substitute for, and does not assure, compliance with any applicable laws or regulations.",at the same time,[],[],Relation
"Compliance with this Standard is not a substitute for, and does not assure, compliance with any applicable laws or regulations.",Compliance with all applicable laws and regulations is a prerequisite for the manufacturing and marketing of the product.,because,[],[],Relation
The glazing area of a building could account for 10 to 25% of a building's exposed surface.,The greatest environmental impact of glazing products is resulted from the energy losses during the building operation stage.,before,[],[],Relation
"The purposes of the assessment criteria developed for glazing are, therefore, to promote the use of energy-efficient building envelop, and to minimise the environmental impact.",Many of the glazing products contain substances that may be harmful to the environment and human health.,because,[],[],Relation
"The scope of this Standard is applicable to glass in fixed and opening windows, window doors, and other elements of building envelop.",Glass blocks and bricks or glass used for internal partitions are excluded from this Standard.,at the same time,[],[],Relation
The Scheme is owned by the Construction Industry Council (CIC) and implemented by the Hong Kong Green Building Council (HKGBC),Construction Industry Council (CIC),is participated by,[],[],Relation
The Scheme is owned by the Construction Industry Council (CIC) and implemented by the Hong Kong Green Building Council (HKGBC),Hong Kong Green Building Council (HKGBC),is participated by,[],[],Relation
The Standard sets out the assessment criteria and their benchmarks for glazing products,The Scheme,is participated by,[],[],Relation
The Standard sets out the assessment criteria and their benchmarks for glazing products,The Standard,is participated by,[],[],Relation
The Standard defines the verification methods to determine which labelling grade should be awarded to the product,The Standard,is participated by,[],[],Relation
"Compliance with this Standard is not a substitute for, and does not assure, compliance with any applicable laws or regulations",The Standard,is participated by,[],[],Relation
"Compliance with this Standard is not a substitute for, and does not assure, compliance with any applicable laws or regulations",Applicable laws or regulations,is participated by,[],[],Relation
Compliance with all applicable laws and regulations is a prerequisite for the manufacturing and marketing of the product,Applicable laws or regulations,is participated by,[],[],Relation
Compliance with all applicable laws and regulations is a prerequisite for the manufacturing and marketing of the product,The product,is participated by,[],[],Relation
"Glazing products are commonly used for fixed and opening windows, window doors, curtain walls and other elements of the building envelop",Glazing products,is participated by,[],[],Relation
The glazing area of a building could account for 10 to 25% of a building's exposed surface,A building,is participated by,[],[],Relation
The glazing area of a building serves as an interface to transmit light and provide outdoor view,A building,is participated by,[],[],Relation
"Common types of glazing being used in architectural applications include clear and tinted float glass, tempered glass, and laminated glass as well as a variety of coated glasses, etc",Clear and tinted float glass,is participated by,[],[],Relation
"Common types of glazing being used in architectural applications include clear and tinted float glass, tempered glass, and laminated glass as well as a variety of coated glasses, etc",Tempered glass,is participated by,[],[],Relation
"Common types of glazing being used in architectural applications include clear and tinted float glass, tempered glass, and laminated glass as well as a variety of coated glasses, etc",Laminated glass,is participated by,[],[],Relation
"Common types of glazing being used in architectural applications include clear and tinted float glass, tempered glass, and laminated glass as well as a variety of coated glasses, etc",Coated glasses,is participated by,[],[],Relation
Many of the glazing products contain substances that may be harmful to the environment and human health,Glazing products,is participated by,[],[],Relation
The greatest environmental impact of glazing products is resulted from the energy losses during the building operation stage due to their long technical service life,Glazing products,is participated by,[],[],Relation
"The purposes of the assessment criteria developed for glazing are to promote the use of energy-efficient building envelop, and to minimise the environmental impact through stringent assessment criteria on the production process and use of materials",Assessment criteria,is participated by,[],[],Relation
"The purposes of the assessment criteria developed for glazing are to promote the use of energy-efficient building envelop, and to minimise the environmental impact through stringent assessment criteria on the production process and use of materials",Energy-efficient building envelop,is participated by,[],[],Relation
"The scope of this Standard is applicable to glass in fixed and opening windows, window doors, and other elements of building envelop",This Standard,is participated by,[],[],Relation
"The scope of this Standard is applicable to glass in fixed and opening windows, window doors, and other elements of building envelop",Glass,is participated by,[],[],Relation
Glass blocks and bricks or glass used for internal partitions are excluded from this Standard,Glass blocks and bricks,is participated by,[],[],Relation
Glass blocks and bricks or glass used for internal partitions are excluded from this Standard,Glass used for internal partitions,is participated by,[],[],Relation
Each application should specify its types and product series,Each application,is participated by,[],[],Relation
Subsequent applications can be made for similar products with different thickness and/or coatings under a labelled product series,Subsequent applications,is participated by,[],[],Relation
Subsequent applications can be made for similar products with different thickness and/or coatings under a labelled product series,Similar products,is participated by,[],[],Relation
Subsequent applications can be made for similar products with different thickness and/or coatings under a labelled product series,Labelled product series,is participated by,[],[],Relation
CIC Green Product Certification,Label,awards,[],[],Relation
Label,Core Criteria,based on,[],[],Relation
Core Criteria,minimum requirements,require,[],[],Relation
Core Criteria,product,evaluate,[],[],Relation
product,minimum requirements,meet,[],[],Relation
product,points,accumulate,[],[],Relation
points,Label,determine,[],[],Relation
Label,Green,include,[],[],Relation
Label,Bronze,include,[],[],Relation
Label,Silver,include,[],[],Relation
Label,Gold,include,[],[],Relation
Label,Platinum,include,[],[],Relation
Chief Executive Officer,submissions,endorse,[],[],Relation
submissions,documentation,require,[],[],Relation
documentation,up-to-date,be,[],[],Relation
A product to be assessed should meet all the minimum requirements of the Core Criteria,be awarded a Green Label under the Scheme,in order to,[],[],Relation
Bonus points may be awarded if the product meets the Non-core Criteria,"a Bronze, Silver, Gold or Platinum Label will be awarded according to the total points accumulated",and,[],[],Relation
All submissions and documentations shall be endorsed by the Chief Executive Officer or other authorised personnel,the product can be assessed,before,[],[],Relation
The Construction Industry Council established the CIC Green Product Certification Scheme.,Construction Industry Council,is participated by,[],[],Relation
China National Accreditation Service for Conformity Assessment is involved in the certification process.,China National Accreditation Service for Conformity Assessment,is participated by,[],[],Relation
Windows with two or three layers of glass are considered suitable for energy efficiency.,Double or triple glazing,is participated by,[],[],Relation
External reflectance is a factor in daylight reflection from building surfaces.,External reflectance,is participated by,[],[],Relation
The Hong Kong Green Building Council Limited is involved in the evaluation process.,HKGBC,is participated by,[],[],Relation
The Hong Kong Accreditation Service is involved in the accreditation process.,HKAS,is participated by,[],[],Relation
The Hong Kong Laboratory Accreditation Scheme is involved in the laboratory testing process.,HKGAS,is participated by,[],[],Relation
Material Safety Data Sheets must be up-to-date to qualify as suitable.,MSDS,is participated by,[],[],Relation
The International Agency for Research on Cancer provides information on product safety.,IARC,is participated by,[],[],Relation
The International Organisation for Standardisation provides standards for product evaluation.,ISO,is participated by,[],[],Relation
Third-party entities are involved in the evaluation process.,Third-party,is participated by,[],[],Relation
U-values are calculated to determine heat transfer through glazing products.,U-value,is participated by,[],[],Relation
Visible light transmittance is a factor in product evaluation.,Visible light transmittance,is participated by,[],[],Relation
"Products must meet the ""Core Criteria"" to be awarded a ""Green"" Label.",Core Criteria,is participated by,[],[],Relation
"Bonus points may be awarded for meeting ""Non-core Criteria"".",Non-core Criteria,is participated by,[],[],Relation
Labels are awarded based on total points accumulated.,Labels,is participated by,[],[],Relation
Submissions and documentations are endorsed by the Chief Executive Officer or other authorised personnel.,Chief Executive Officer,is participated by,[],[],Relation
Submissions and documentations are endorsed by the Chief Executive Officer or other authorised personnel.,authorised personnel,is participated by,[],[],Relation
Applicant,conformance,demonstrate,[],[],Relation
certification,assessment,must,[],[],Relation
laboratory report,assessment,must,[],[],Relation
documentation,assessment,must,[],[],Relation
chemical tests,conducted,should,[],[],Relation
third party,conduct,should,[],[],Relation
manufacturer,conduct,should,[],[],Relation
ISO17025 certification,manufacturer,has,[],[],Relation
HOKLAS,national accreditation system,is,[],[],Relation
product,fulfil,shall,[],[],Relation
quality,standards,according,[],[],Relation
glass manufacturer,provide,shall,[],[],Relation
guarantee,functions,covering,[],[],Relation
verification,conducted,shall,[],[],Relation
laboratory test report,tests,for,[],[],Relation
ISO 17025 certification,manufacturer,has,[],[],Relation
manufacturer,possess,shall,[],[],Relation
ISO14001 certification,manufacturer,has,[],[],Relation
EMAS certification,manufacturer,has,[],[],Relation
product manufacturer,provide,shall,[],[],Relation
information,provided,shall,[],[],Relation
"All certification, laboratory report and documentation must be valid during the assessment process and labelling period.",The validity of all laboratory report and documentation shall be 5 years from the date of issue.,because,[],[],Relation
The chemical tests should be conducted by either a third party or the manufacturer who has received the ISO17025 certification or relevant national accreditation systems.,"The chemical tests should be conducted by either a third party or the manufacturer who has received the ISO17025 certification or relevant national accreditation systems, e.g. HOKLAS, CNAS, etc.",because,[],[],Relation
"The product shall fulfil the quality, safety, air leakage and other functional requirements according to the British Standards (BS), BS EN (European Standard), American Society for Testing and Materials (ASTM), Chinese National Standard (GB) or equivalent national standards.","In addition, glass manufacturer shall provide a 10-year guarantee covering functions and quality according to relevant standards.",at the same time,[],[],Relation
Verification Laboratory test report(s) for all relevant quality and performance tests.,"The tests should be conducted by either a third party or manufacturer who has received ISO 17025 certification or national accreditation systems e.g. HOKLAS, CNAS (same applied to the verification methods hereafter).",because,[],[],Relation
"The tests should be conducted by either a third party or manufacturer who has received ISO 17025 certification or national accreditation systems e.g. HOKLAS, CNAS (same applied to the verification methods hereafter).",Verification Laboratory test report(s) for all relevant quality and performance tests.,because,[],[],Relation
Manufacturer of the products shall possess valid certificates of ISO14001 or the EU Eco-Management and Audit Scheme (EMAS).,"Targets shall be set to reduce the environmental impacts during the manufacturing process which include but not limited to the reduction of hazardous substance emissions, energy consumption, CO<sup>2</sup> emissions, secondary environmental load, waste management, water management, etc.",at the same time,[],[],Relation
A valid ISO14001 or EMAS Certificate issued by local or overseas accredited certification bodies.,Manufacturer of the products shall possess valid certificates of ISO14001 or the EU Eco-Management and Audit Scheme (EMAS).,because,[],[],Relation
The following essential information shall be provided by the product manufacturer with each delivery of the glazing products or made available to the public:,"The product shall fulfil the quality, safety, air leakage and other functional requirements according to the British Standards (BS), BS EN (European Standard), American Society for Testing and Materials (ASTM), Chinese National Standard (GB) or equivalent national standards.",because,[],[],Relation
The Applicant must demonstrate conformance to the assessment criteria.,Applicant,is participated by,[],[],Relation
"All certification, laboratory report and documentation must be valid during the assessment process and labelling period.",Certification,is participated by,[],[],Relation
"All certification, laboratory report and documentation must be valid during the assessment process and labelling period.",Laboratory report,is participated by,[],[],Relation
"All certification, laboratory report and documentation must be valid during the assessment process and labelling period.",Documentation,is participated by,[],[],Relation
The validity of all laboratory report and documentation shall be 5 years from the date of issue.,Laboratory report,is participated by,[],[],Relation
The validity of all laboratory report and documentation shall be 5 years from the date of issue.,Documentation,is participated by,[],[],Relation
The chemical tests should be conducted by either a third party or the manufacturer who has received the ISO17025 certification or relevant national accreditation systems.,Third party,is participated by,[],[],Relation
The chemical tests should be conducted by either a third party or the manufacturer who has received the ISO17025 certification or relevant national accreditation systems.,Manufacturer,is participated by,[],[],Relation
The chemical tests should be conducted by either a third party or the manufacturer who has received the ISO17025 certification or relevant national accreditation systems.,ISO17025 certification,is participated by,[],[],Relation
The chemical tests should be conducted by either a third party or the manufacturer who has received the ISO17025 certification or relevant national accreditation systems.,National accreditation systems,is participated by,[],[],Relation
"The product shall fulfil the quality, safety, air leakage and other functional requirements according to the British Standards (BS), BS EN (European Standard), American Society for Testing and Materials (ASTM), Chinese National Standard (GB) or equivalent national standards.",Product,is participated by,[],[],Relation
"The product shall fulfil the quality, safety, air leakage and other functional requirements according to the British Standards (BS), BS EN (European Standard), American Society for Testing and Materials (ASTM), Chinese National Standard (GB) or equivalent national standards.",British Standards,is participated by,[],[],Relation
"The product shall fulfil the quality, safety, air leakage and other functional requirements according to the British Standards (BS), BS EN (European Standard), American Society for Testing and Materials (ASTM), Chinese National Standard (GB) or equivalent national standards.",BS EN,is participated by,[],[],Relation
"The product shall fulfil the quality, safety, air leakage and other functional requirements according to the British Standards (BS), BS EN (European Standard), American Society for Testing and Materials (ASTM), Chinese National Standard (GB) or equivalent national standards.",ASTM,is participated by,[],[],Relation
"The product shall fulfil the quality, safety, air leakage and other functional requirements according to the British Standards (BS), BS EN (European Standard), American Society for Testing and Materials (ASTM), Chinese National Standard (GB) or equivalent national standards.",GB,is participated by,[],[],Relation
Glass manufacturer shall provide a 10-year guarantee covering functions and quality according to relevant standards.,Glass manufacturer,is participated by,[],[],Relation
Glass manufacturer shall provide a 10-year guarantee covering functions and quality according to relevant standards.,Guarantee,is participated by,[],[],Relation
Glass manufacturer shall provide a 10-year guarantee covering functions and quality according to relevant standards.,Standards,is participated by,[],[],Relation
Verification Laboratory test report(s) for all relevant quality and performance tests.,Verification Laboratory,is participated by,[],[],Relation
Verification Laboratory test report(s) for all relevant quality and performance tests.,Test report,is participated by,[],[],Relation
Verification Laboratory test report(s) for all relevant quality and performance tests.,Quality and performance tests,is participated by,[],[],Relation
The tests should be conducted by either a third party or manufacturer who has received ISO 17025 certification or national accreditation systems.,Third party,is participated by,[],[],Relation
The tests should be conducted by either a third party or manufacturer who has received ISO 17025 certification or national accreditation systems.,Manufacturer,is participated by,[],[],Relation
The tests should be conducted by either a third party or manufacturer who has received ISO 17025 certification or national accreditation systems.,ISO 17025 certification,is participated by,[],[],Relation
The tests should be conducted by either a third party or manufacturer who has received ISO 17025 certification or national accreditation systems.,National accreditation systems,is participated by,[],[],Relation
"Guarantee certificate supplied with the product or made available to the public, e.g. through manufacturer's website.",Guarantee certificate,is participated by,[],[],Relation
"Guarantee certificate supplied with the product or made available to the public, e.g. through manufacturer's website.",Product,is participated by,[],[],Relation
"Guarantee certificate supplied with the product or made available to the public, e.g. through manufacturer's website.",Public,is participated by,[],[],Relation
"Guarantee certificate supplied with the product or made available to the public, e.g. through manufacturer's website.",Manufacturer's website,is participated by,[],[],Relation
Manufacturer of the products shall possess valid certificates of ISO14001 or the EU Eco-Management and Audit Scheme (EMAS).,Manufacturer,is participated by,[],[],Relation
Manufacturer of the products shall possess valid certificates of ISO14001 or the EU Eco-Management and Audit Scheme (EMAS).,ISO14001,is participated by,[],[],Relation
Manufacturer of the products shall possess valid certificates of ISO14001 or the EU Eco-Management and Audit Scheme (EMAS).,EU Eco-Management and Audit Scheme (EMAS),is participated by,[],[],Relation
"Targets shall be set to reduce the environmental impacts during the manufacturing process which include but not limited to the reduction of hazardous substance emissions, energy consumption, CO2 emissions, secondary environmental load, waste management, water management, etc.",Manufacturer,is participated by,[],[],Relation
"Targets shall be set to reduce the environmental impacts during the manufacturing process which include but not limited to the reduction of hazardous substance emissions, energy consumption, CO2 emissions, secondary environmental load, waste management, water management, etc.",Targets,is participated by,[],[],Relation
"Targets shall be set to reduce the environmental impacts during the manufacturing process which include but not limited to the reduction of hazardous substance emissions, energy consumption, CO2 emissions, secondary environmental load, waste management, water management, etc.",Environmental impacts,is participated by,[],[],Relation
"Targets shall be set to reduce the environmental impacts during the manufacturing process which include but not limited to the reduction of hazardous substance emissions, energy consumption, CO2 emissions, secondary environmental load, waste management, water management, etc.",Hazardous substance emissions,is participated by,[],[],Relation
"Targets shall be set to reduce the environmental impacts during the manufacturing process which include but not limited to the reduction of hazardous substance emissions, energy consumption, CO2 emissions, secondary environmental load, waste management, water management, etc.",Energy consumption,is participated by,[],[],Relation
"Targets shall be set to reduce the environmental impacts during the manufacturing process which include but not limited to the reduction of hazardous substance emissions, energy consumption, CO2 emissions, secondary environmental load, waste management, water management, etc.",CO2 emissions,is participated by,[],[],Relation
"Targets shall be set to reduce the environmental impacts during the manufacturing process which include but not limited to the reduction of hazardous substance emissions, energy consumption, CO2 emissions, secondary environmental load, waste management, water management, etc.",Secondary environmental load,is participated by,[],[],Relation
"Targets shall be set to reduce the environmental impacts during the manufacturing process which include but not limited to the reduction of hazardous substance emissions, energy consumption, CO2 emissions, secondary environmental load, waste management, water management, etc.",Waste management,is participated by,[],[],Relation
"Targets shall be set to reduce the environmental impacts during the manufacturing process which include but not limited to the reduction of hazardous substance emissions, energy consumption, CO2 emissions, secondary environmental load, waste management, water management, etc.",Water management,is participated by,[],[],Relation
A valid ISO14001 or EMAS Certificate issued by local or overseas accredited certification bodies.,ISO14001,is participated by,[],[],Relation
A valid ISO14001 or EMAS Certificate issued by local or overseas accredited certification bodies.,EMAS Certificate,is participated by,[],[],Relation
A valid ISO14001 or EMAS Certificate issued by local or overseas accredited certification bodies.,Certification bodies,is participated by,[],[],Relation
The following essential information shall be provided by the product manufacturer with each delivery of the glazing products or made available to the public.,Product manufacturer,is participated by,[],[],Relation
The following essential information shall be provided by the product manufacturer with each delivery of the glazing products or made available to the public.,Glazing products,is participated by,[],[],Relation
The following essential information shall be provided by the product manufacturer with each delivery of the glazing products or made available to the public.,Public,is participated by,[],[],Relation
"Instructions on how the product shall be installed, adjusted and protected in a sustainable manner, in order to prevent heat loss as a result of poor installation.",Product,is participated by,[],[],Relation
"Instructions on how the product shall be installed, adjusted and protected in a sustainable manner, in order to prevent heat loss as a result of poor installation.",Instructions,is participated by,[],[],Relation
"Information on the product's U-value, solar heat gain coefficient (SHGC) and visible light transmittance (VLT).",Product,is participated by,[],[],Relation
"Information on the product's U-value, solar heat gain coefficient (SHGC) and visible light transmittance (VLT).",U-value,is participated by,[],[],Relation
"Information on the product's U-value, solar heat gain coefficient (SHGC) and visible light transmittance (VLT).",SHGC,is participated by,[],[],Relation
"Information on the product's U-value, solar heat gain coefficient (SHGC) and visible light transmittance (VLT).",VLT,is participated by,[],[],Relation
Instructions describing the recommended maintenance for the product.,Product,is participated by,[],[],Relation
Instructions describing the recommended maintenance for the product.,Instructions,is participated by,[],[],Relation
"Care instructions should contain details on how often the product should be checked and maintained, and what surface treatment is recommended.",Product,is participated by,[],[],Relation
"Care instructions should contain details on how often the product should be checked and maintained, and what surface treatment is recommended.",Instructions,is participated by,[],[],Relation
"Care instructions should contain details on how often the product should be checked and maintained, and what surface treatment is recommended.",Surface treatment,is participated by,[],[],Relation
Details of what should be done with the product at the end of its life cycle.,Product,is participated by,[],[],Relation
Details of what should be done with the product at the end of its life cycle.,End of life cycle,is participated by,[],[],Relation
product,halogenated plastics,contain,[],[],Relation
packaging materials,recyclable,be,[],[],Relation
packaging materials,decomposable,be,[],[],Relation
glazing products,resource consumption,reduce,[],[],Relation
glazing products,extra environmental features,embed,[],[],Relation
extra environmental features,product functions,generate,[],[],Relation
glazing products,heat,transfer,[],[],Relation
glazing products,U-value,meet,[],[],Relation
"The packaging materials shall be comprised of 100% recycled material or be readily recyclable, decomposable, or contain no coatings, impregnated chemicals or other materials that would prevent recycling or decomposition.","The packaging materials shall: - o Not contain halogenated plastics,",because,[],[],Relation
