node,conceptualized_node,node_type
Energy Management,"strategy, process, system, practice, discipline",entity
Tinted glazing products,"glass, material, product, construction material",entity
authorised persons,"officials, representatives, signatories, agents",entity
essential information with each delivery,"information, documentation, details, instructions",entity
Assessment criteria,"standards, guidelines, requirements, benchmarks",entity
EMAS certification,"certification, standard, regulation, compliance, environmental management",entity
Similar products,"products, items, goods, merchandise, variations",entity
internal partitions,"dividers, separators, structures, barriers",entity
low U-value,"insulation, efficiency, performance, quality",entity
Surface treatment,"maintenance, process, finishing, coating, technique",entity
accredited certification body,"organization, certifier, authority, agency, institution",entity
Gold,"metal, element, commodity, resource, asset",entity
energy management programme,"programme, initiative, strategy, system, management",entity
Visible Light Transmittance,"optics, measurement, property, transparency",entity
EN ISO 10077,"standard, norm, regulation, guideline",entity
solar heat gain coefficient,"measurement, property, coefficient, energy efficiency, glazing performance",entity
external reflectance,"property, characteristic, measurement",entity
benchmarks,"standards, criteria, measures, evaluation tools, assessment methods, performance indicators",entity
grade glazing,"glazing, standard, benchmark, specification",entity
environmental impacts during manufacturing,"effects, consequences, issues, challenges, concerns",entity
Recycled Material,"material, resource, product, substance",entity
document,"text, file, record, material, paper",entity
Glazing Product,"material, product, insulation, construction, technology",entity
permission,"authorization, consent, approval, agreement",entity
HKGBC Green Product Accreditation and Standards [HK G-PASS],"certification, accreditation, standard, program, initiative",entity
polybrominated diphenyl ethers,"chemical, compound, substance, pollutant, flame retardant",entity
Production documentation,"document, paperwork, requirement, certification material",entity
ISO 8990 or EN-ISO 12567 standard,"standard, guideline, measurement, specification",entity
Validity,"duration, term, period, timeframe",entity
quality,"standard, attribute, characteristic, measure",entity
CIC Green Product Certification,"certification, standard, accreditation, program, initiative",entity
Organisations,"group, institution, association, entity, body",entity
carcinogenic substances,"chemicals, toxins, agents, compounds, materials",entity
packaging materials,"materials, supplies, products, resources",entity
glazing manufacturing,"manufacturing, industry, production, technology, process",entity
policy makers,"officials, regulators, authorities, decision-makers",entity
50%,"percentage, ratio, measurement, value",entity
Platinum,"metal, element, commodity, resource",entity
HKGAS,"laboratory, accreditation, scheme, program, organization",entity
organotin compounds,"chemicals, compounds, substances, materials",entity
persons of the Applicant,"individuals, people, participants, members",entity
chemical tests,"experiments, analysis, procedures, assessments, evaluations",entity
third party,"mediator, intermediary, organization, entity, participant",entity
Manufacturers,"producers, industry, creators, companies, businesses, enterprises",entity
Shading Coefficient,"coefficient, measurement, property, parameter",entity
Quality and performance tests,"tests, evaluations, assessments, analysis",entity
Public,"society, community, audience, populace",entity
EN 410,"standard, specification, guideline, measurement, protocol",entity
Test Report,"report, document, analysis, evaluation, assessment",entity
SHGC,"coefficient, measurement, value, calculation, property",entity
functions,"operations, roles, purposes, activities",entity
glazing area,"building element, architecture, design feature, window space",entity
Standard single glazing,"glazing, glass, material, construction, insulation",entity
Maintenance,"upkeep, preservation, care, management, support",entity
100-year global warming potential > 5,"emission, environmental impact, climate change factor",entity
phthalates or polybrominated diphenylethers,"chemicals, compounds, substances, additives",entity
cobalt (Co),"element, metal, substance, material",entity
product manufacturer,"manufacturer, company, producer, supplier, business",entity
End of life cycle,"termination, conclusion, discontinuation, phase, process",entity
Effective energy management policies and procedures,"policies, procedures, strategies, initiatives, management, efficiency",entity
Glazing products,"glazing, products, materials, construction, windows",entity
Instructions on installation,"instructions, guide, manual, documentation",entity
effective energy management policies,"policies, strategies, guidelines, practices",entity
Laboratory test report,"document, report, analysis, evaluation, certification",entity
self-declaration letter,"document, letter, statement, declaration, certification",entity
Manufacturer's website,"website, source, resource, platform, portal",entity
Product Functions,"features, capabilities, specifications, attributes, technology",entity
Gold grade,"standard, level, classification, achievement",entity
Energy management policies,"policies, strategies, regulations, guidelines, framework",entity
visible light transmittance,"optics, transparency, measurement, property",entity
suppliers,"vendors, partners, providers, businesses",entity
carcinogens,"chemicals, substances, toxins, hazards, pollutants",entity
arsenic (As),"element, chemical, toxin, substance, contaminant",entity
glazing,"glass, material, construction, architecture, energy efficiency",entity
building operation stage,"phase, period, process, lifecycle stage, construction stage",entity
Documentation on packaging materials,"manual, guide, reference, material, resource",entity
Test Reports,"document, report, analysis, evaluation",entity
primary packaging materials,"packaging, materials, supplies, components",entity
light reflected by the glazing product,"reflection, optics, phenomenon",entity
production documentation,"document, record, report, compliance, paperwork, certification",entity
3mm clear float glass,"glass, material, product, surface",entity
heat transfer,"energy, physics, process, thermodynamics",entity
exposed surface,"surface, area, interface, exterior, boundary",entity
IARC Group 2A,"classification, category, group, listing",entity
Bronze grade,"level, achievement, category, rank",entity
visible light transmission,"transmission, measurement, optics, property, light",entity
light,"illumination, energy, brightness, radiance",entity
ISO14001 or EMAS,"standard, certification, guideline, system",entity
retrieval system,"system, technology, database, tool",entity
Silver,"metal, element, commodity, resource",entity
Glass manufacturer,"manufacturer, company, business, industry, supplier",entity
polybrominated diphenylethers,"chemical, compound, substance, material",entity
manufacturer,"provider, company, supplier, producer, business",entity
amount of visible light transmitted,"transmittance, measurement, property, characteristic",entity
ISO 9050,"standard, guideline, regulation, document, specification",entity
resource consumption,"usage, expenditure, depletion, demand",entity
human health,"well-being, condition, wellness, vitality",entity
Assessment Standard,"standard, criteria, guideline, benchmark",entity
support,"assistance, help, aid, backing, endorsement",entity
MSDS,"document, compliance, safety data sheet, information",entity
Section 4,"section, document, criteria, guidelines, provision",entity
product packaging,"packaging, container, design, material, protection",entity
EMAS,"certification, scheme, regulation, standard, framework",entity
labelled product series,"series, category, collection, product line",entity
regulations,"rules, guidelines, standards, policies, directives",entity
filler gases,"gases, insulation, materials, components",entity
Cancer Research,"research, study, science, investigation, health, oncology",entity
Silver Label,"label, award, category, recognition",entity
substances,"materials, components, compounds",entity
Platinum grade,"grade, ranking, level, standard",entity
IARC Group 1,"classification, category, group, list, designation",entity
Product manufacturer,"manufacturer, company, producer, supplier, business",entity
assessment criteria and benchmarks,"standards, guidelines, measures, evaluation, framework",entity
environment,"nature, ecosystem, surroundings, habitat, biosphere",entity
decomposable,"biodegradable, eco-friendly, sustainable, environmental",entity
authorised personnel,"staff, personnel, employee, authority, representative",entity
Test report,"document, report, analysis, record, evaluation",entity
single sheet of glass,"glass, pane, material, surface",entity
ISO14001 Certificate,"certificate, standard, certification, accreditation, compliance",entity
targets,"objectives, goals, aims, benchmarks, standards",entity
CO2 emissions,"pollution, environmental impact, greenhouse gases, carbon footprint, emissions",entity
10-year guarantee to the product,"warranty, assurance, protection, promise",entity
Hong Kong Green Building Council,"organization, council, committee, authority",entity
Environmental impacts,"effects, consequences, outcomes, issues, factors",entity
valid during assessment process,"document, report, requirement, guideline",entity
initiatives to reduce energy use,"conservation, sustainability, efficiency, management, strategy",entity
Applicant,"candidate, individual, participant",entity
ASTM,"standards organization, certification, quality assurance, testing, compliance",entity
Tests,"evaluation, assessment, procedure, examination",entity
Spectral measurements,"measurement, technique, analysis, method",entity
European Union Directive 2001/59/EC,"directive, regulation, law, guideline, policy",entity
product category,"classification, type, group, category, label",entity
national accreditation systems,"accreditation, certification, standard, system, authority",entity
Technology,"innovation, advancement, tool, application, system, science",entity
Filler gases,"gases, insulation, material, substance",entity
Coated glasses,"glazing, material, product, innovation",entity
Energy management programme,"program, initiative, strategy, policy, system",entity
Guarantee certificate,"document, warranty, assurance, agreement, protection",entity
product series,"series, category, lineup, collection",entity
antimony (Sb),"element, substance, material, chemical, metalloid",entity
IARC,"agency, organization, research body, cancer study, international entity",entity
solar heat gain,"energy, heat, solar energy, thermal gain",entity
Accreditation Service,"service, certification, evaluation, standardization",entity
Packaging materials,"materials, resources, products, supplies",entity
100% recycled or readily recyclable,"sustainability, eco-friendly, materials, packaging, recyclability",entity
International Agency for Research on Cancer (IARC),"organization, agency, institution, research entity, health body",entity
recyclable,"material, waste, sustainability, resource",entity
Certification,"validation, qualification, documentation, approval, endorsement",entity
Labelled product series,"series, category, classification, grouping, collection",entity
Laboratory Accreditation Scheme,"scheme, program, certification, standard",entity
Instructions,"guidelines, directions, manual, procedure, protocol",entity
Third party,"organization, entity, intermediary, outsider, participant",entity
daylight reflected,"light, illumination, reflection, brightness",entity
Product Information,"data, details, specifications, attributes, characteristics",entity
Green grade,"score, rating, evaluation, assessment, category",entity
Technologies,"innovation, advancement, tools, methods, systems",entity
ISO14001,"certification, standard, guideline, compliance, regulation",entity
hindrances caused by sunlight,"interference, obstruction, challenge, barrier",entity
Guarantee,"assurance, promise, contract, warranty, commitment",entity
Halogenated Plastics,"plastics, materials, packaging, recyclables",entity
local certification bodies,"certification, organization, authority, institution",entity
provided,"data, details, input, content",entity
"substances listed in IARC Group 1, 2A and 2B","carcinogens, chemicals, hazards, risks",entity
laminated glass,"material, glazing, construction, glass type",entity
limits,"constraints, boundaries, thresholds, specifications",entity
points,"score, measurement, metric, value",entity
The product,"product, item, commodity, good, merchandise",entity
Solar heat gain coefficient,"measurement, specification, property, coefficient, factor",entity
halogenated plastics,"plastics, materials, compounds, chemicals",entity
Product,"item, merchandise, commodity, good, offering",entity
glazing products,"materials, products, construction, sustainability",entity
Glazing product,"product, material, construction, item, component",entity
"quality, safety, air leakage requirements","standard, criteria, regulation, requirement, guideline",entity
bricks,"material, construction, building, masonry",entity
procedures,"guidelines, processes, methods, protocols",entity
ASTM E903,"standard, specification, guideline, document",entity
toxic heavy metals,"pollutants, contaminants, elements, substances, metals",entity
assessment criteria,"standards, guidelines, benchmarks, measures",entity
Energy-efficient building envelop,"building, architecture, construction, sustainability, design",entity
ISO17025 certification,"certification, standard, accreditation, compliance, quality assurance, testing",entity
glass in windows and building envelop,"material, component, construction element, architectural feature",entity
GLAZING,"material, construction, component, technique",entity
Technology adopted,"innovation, advancement, sustainability, efficiency",entity
cadmium (Cd),"element, metal, substance, chemical, material",entity
glass blocks and bricks,"building materials, construction elements, architectural components",entity
logo,"symbol, design, emblem, icon, brand, identity",entity
Glazing Manufacturing,"manufacturing, industry, technology, process, innovation",entity
innovative technologies,"technologies, advancements, innovations, developments, solutions",entity
Benchmarks,"standards, criteria, measures, evaluations",entity
tinted glazing product,"glass, product, material, coating",entity
Laboratory test report(s),"report, document, analysis, assessment, evaluation",entity
authorised representative,"representative, delegate, agent, official, signatory",entity
EU Directives 2001/59/EC,"directives, regulations, standards, guidelines, legislation",entity
product functions,"features, capabilities, attributes, specifications",entity
EN673 (Glazing) and EN ISO 10077 (Frame / Casement),"standard, regulation, measurement, specification",entity
documentations,"records, paperwork, files, materials, reports, archives",entity
building envelope,"structure, construction, architecture, component, barrier",entity
resources,"materials, assets, supplies, inputs, reserves",entity
fulfil,"achieve, complete, satisfy, accomplish",entity
equation,"formula, calculation, expression, mathematics",entity
outdoor view,"landscape, scenery, vista, perspective, environment",entity
coatings,"layer, surface, finish, treatment, protection",entity
Tempered glass,"material, glass, glazing, safety glass, construction material",entity
glass blocks,"material, construction, architecture, building element",entity
Documentation,"manual, guide, reference, record, material",entity
HOKLAS,"accreditation, system, certification, standard, organization",entity
Product packaging,"packaging, container, material, design, solution",entity
substances harmful to environment and health,"chemicals, pollutants, toxins, contaminants",entity
product packaging information,"documentation, information, details, labeling, description",entity
Company,"organization, business, enterprise, corporation, firm",entity
Laminated glass,"glass, material, construction, safety glass",entity
product,"item, commodity, good, offering, merchandise, material",entity
Energy,"resource, power, concept, force, technology",entity
manufacturing process,"production, process, industry, operation",entity
selenium (Se),"element, chemical, substance, compound",entity
Table 1,"table, chart, reference, guideline",entity
application,"software, program, tool, system, platform",entity
Self-declaration letter,"letter, document, statement, certification",entity
BS EN,"standard, regulation, guideline, certification",entity
National accreditation systems,"certification, standard, system, accreditation, quality assurance",entity
Waste management,"recycling, sustainability, conservation, environmental protection, waste reduction",entity
Energy consumption,"resource use, environmental impact, efficiency, sustainability",entity
environmental impact,"environment, ecology, sustainability, conservation, footprint",entity
manufacturers,"producers, creators, industry, companies, businesses",entity
Quality,"standard, characteristic, attribute, measure",entity
installation instructions,"instructions, guide, document, manual",entity
initiatives to reduce energy use and improve energy efficiency,"conservation, strategy, policy, management, efficiency",entity
Core Criteria,"standard, guideline, requirement, benchmark, evaluation criterion",entity
documentation,"record, paperwork, evidence, report, file",entity
two layers of glass,"insulation, material, construction, structure",entity
Verification Laboratory,"laboratory, facility, testing center, research lab, quality assurance, evaluation site",entity
overseas accredited certification bodies,"certification, accreditation, standards, compliance, governance",entity
"lead (Pb), cadmium (Cd), mercury (Hg), chromium (Cr), arsenic (As), selenium (Se), antimony (Sb), cobalt (Co)","element, metal, substance, toxin, pollutant",entity
building professionals,"professionals, experts, specialists, architects, engineers",entity
Product functions generated by technology,"functions, features, technology, innovation",entity
excludes,"omit, leave out, disregard, reject",relation
lays down,"establishes, sets, determines, prescribes, defines",relation
alternatively,"substitute, option, choice, otherwise",relation
features,"showcases, presents, includes, highlights, displays",relation
endorse,"support, approve, back, advocate, promote",relation
accumulate,"gather, collect, amass, build up, accrue",relation
adopt,"embrace, accept, take on, implement, integrate",relation
defines,"characterizes, establishes, determines, outlines, specifies",relation
portrays,"depicts, represents, illustrates, describes",relation
advocate,"support, promote, endorse, champion, back",relation
enables,"facilitates, empowers, allows, permits, activates",relation
intended to minimise,"reduce, decrease, lower, diminish",relation
operates,"functions, runs, manages, works",relation
according,"based on, following, as per, in line with",relation
must be,"necessary, required, obligated, essential",relation
evaluates,"assesses, appraises, judges, reviews, measures",relation
assesses,"evaluate, judge, measure, appraise, analyze",relation
used,"utilized, employed, applied, operated, exploited",relation
should be measured according to,"evaluate by, assess based on, gauge according to, determine by",relation
awards,"recognition, accolades, honors, achievements",relation
demonstrate,"show, exhibit, display, reveal, present",relation
shall be ≤ 5,"less than or equal to five, upper limit five, maximum five",relation
submit,"hand in, turn in, present, deliver, propose",relation
calculates,"computes, determines, evaluates, processes, assesses",relation
requires,"needs, demands, necessitates, calls for, entails",relation
has received,"obtained, acquired, accepted, got, gained",relation
shall,"must, will, be obliged to, is required to",relation
must,"necessity, obligation, requirement, compulsion",relation
issued by,"authorized by, released by, provided by, distributed by, produced by",relation
measured according to,"assess by, evaluate based on, judge by, quantify through",relation
applicable,"relevant, suitable, appropriate, pertinent",relation
in order to,"aim, purpose, intention, goal, objective",relation
accredits,"certifies, authorizes, validates, recognizes",relation
provides,"gives, supplies, offers, furnishes, delivers",relation
shall fulfil,"meet obligations, satisfy requirements, carry out duties, achieve expectations",relation
or,"alternatives, options, choice, selection",relation
based on,"founded on, derived from, dependent on, rooted in",relation
envelop,"surround, enclose, encompass, wrap",relation
indicates,"shows, signifies, suggests, denotes",relation
sets out,"begins, initiates, embarks",relation
shall meet the limits below,"comply with, adhere to, conform to, satisfy",relation
specifies,"defines, details, clarifies, identifies, determines",relation
aim,"goal, purpose, target, intention, objective",relation
are obtained by,"acquired through, derived from, received by, gained from",relation
publishes,"release, distribute, issue, disseminate",relation
involves,"contains, includes, encompasses, entails, requires",relation
holds,"possesses, contains, owns, retains, has",relation
calculated according to,"measure by, determine by, assess with, evaluate based on",relation
shall not contain,"exclude, forbid, prohibit, restrict, omit",relation
classifies,"categorizes, organizes, sorts, groups, labels",relation
promote,"advertise, endorse, support, advocate, advance",relation
should be conducted by,"overseen by, managed by, led by, facilitated by, coordinated by",relation
evaluate,"assess, judge, appraise, analyze, review",relation
sets,"groups, collections, categories, clusters",relation
be classified,"categorized, grouped, organized, sorted",relation
including,"incorporating, encompassing, comprising, involving",relation
awarded,"receive, earn, honor, recognize, grant",relation
shall be set to reduce,"decrease, lower, diminish, lessen, mitigate",relation
classified by,"sorted by, categorized by, arranged by, grouped by",relation
transfer,"move, shift, relocate, hand over, convey",relation
award,"prize, honor, recognition, accolade, commendation",relation
minimise,"reduce, lessen, decrease, lower, diminish, curtail",relation
reduce,"decrease, diminish, lessen, lower, minimize",relation
refers to,"denotes, signifies, indicates, relates to, mentions",relation
is implemented by,"executed by, carried out by, performed by, conducted by",relation
includes,"contains, encompasses, consists of, incorporates, involves",relation
comply with,"adhere to, follow, abide by, conform to",relation
shall possess,"own, have, hold, acquire",relation
compares,"contrast, evaluate, analyze, differentiate",relation
write,"compose, create text, draft, inscribe, document",relation
shall be less than,"be under, be below, not exceed, be smaller than, be inferior to",relation
can be calculated according to,"derived from, determined by, based on, computed from",relation
for,"in favor of, on behalf of, in support of, intended for, meant for",relation
is participated by,"involve, engage, include, take part in",relation
shall have,"possess, obtain, receive, acquire",relation
but,"contrast, exception, however",relation
to demonstrate,"show, exhibit, display, illustrate, present",relation
contain,"hold, include, encompass, comprise, embody",relation
be,"exist, exist as, occur, happen, constitute",relation
is owned by,"belongs to, possesses, controlled by, under ownership",relation
enable,"facilitate, allow, empower, permit, activate",relation
require,"need, demand, necessitate, call for, entail",relation
provide,"supply, offer, deliver, furnish, contribute",relation
can be converted according to,"transformable by, adaptable to, changeable based on, modifiable through",relation
meet,"encounter, come across, connect, interact",relation
is,"exists, equals, represents, embodies, denotes",relation
implemented,"executed, carried out, enacted, put into action",relation
should,"ought to, must, need to, expected to, required to",relation
shall comply with,"adhere to, follow, conform to, observe, abide by",relation
not use,"abstain, avoid, refrain, exclude",relation
measure,"quantify, assess, evaluate, gauge, determine",relation
are used for,"serve as, function as, act as, utilized for, employed for",relation
supersedes,"replaces, takes over, succeeds, surpasses",relation
formerly known as,"previously called, once named, formerly titled, earlier referred to",relation
covering,"concealing, protecting, enveloping, shielding",relation
consists of,"composed of, made up of, contains, includes, comprises",relation
for example,"such as, to illustrate, as an instance, including",relation
aims to help,"assist, support, facilitate, aid, empower",relation
shall be,"will become, will be, must be",relation
resulting in,"lead to, cause, bring about, produce, give rise to",relation
converted according to,"transformed by, adapted to, modified based on, altered in line with",relation
embed,"insert, integrate, incorporate, implant",relation
shall provide,"supply, furnish, deliver, offer, contribute",relation
is awarded to,"receive, earn, granted, bestowed, conferred",relation
as a result,"because of, consequence, due to, outcome",relation
standardizes,"uniforms, regulates, harmonizes, normalizes",relation
has,"possesses, owns, contains, holds, includes",relation
measures,"evaluates, quantifies, assesses, determines",relation
is made of,"consists of, composed of, constructed from, formed by",relation
before,"precede, prior to, earlier than, ahead of",relation
owns,"possesses, holds, has, controls, claims",relation
apply,"request, seek, submit, utilize, employ",relation
summarised in,"condensed in, encapsulated in, outlined in, briefed in",relation
after,"subsequent to, following, later than, succeeding",relation
modifies,"changes, alters, adjusts, edits, revises",relation
required for,"necessary for, essential to, needed for, prerequisite for",relation
shall not be used,"prohibited, forbidden, restricted, disallowed, barred",relation
are used to,"serve for, function as, purpose for, intended for",relation
not contain,"exclude, omit, lack, be absent from",relation
determine,"decide, establish, conclude, resolve, ascertain",relation
applies to,"relevant to, pertains to, concerns, affects, covers",relation
to,"toward, in the direction of, approaching, until, for",relation
used in,"apply to, utilize in, serve in, operate within, employ in",relation
cause,"produce, lead to, result in, trigger, bring about",relation
because,"due to, as a result of, owing to, on account of",relation
indicate,"show, suggest, signify, point to",relation
administers,"manages, oversees, controls, directs, governs",relation
and,"connect, link, combine, associate",relation
include,"contain, comprise, encompass, incorporate, embrace",relation
should be measured in accordance with,"assess by, evaluate according to, quantify using, measure against",relation
generate,"create, produce, bring about, cause, develop",relation
conducts,"leads, manages, directs, oversees, organizes",relation
uses,"employs, utilizes, applies, adopts, leverages",relation
involve,"engage, include, participate, entail, incorporate",relation
shall be greater than,"exceed, surpass, be more than, outstrip",relation
at the same time,"simultaneously, concurrently, synchronously, in unison",relation
owned,"possess, have, hold, control, belong to",relation
